"firstname","lastname","email","username"
Cláudio,Marzo,cláudiomarzo6491@univag.edu.br,"13047582906"
Débora,Fonseca,déborafonseca6503@univag.edu.br,"59497931491"
José,Costa,josécosta6515@univag.edu.br,"37883323781"
Luiz,Miele,luizmiele6519@univag.edu.br,"68420319572"
Lúcia,Costa,lúciacosta6527@univag.edu.br,"60392933109"
Daisy,Gonçalves,daisygonçalves6531@univag.edu.br,"63558293400"
Fabiana,Costa,fabianacosta6651@univag.edu.br,"30782305040"
Zeferino,Freire,zeferinofreire6665@univag.edu.br,"41023653679"
Zacarias,Macedo,zacariasmacedo6700@univag.edu.br,"69618261625"
Diego,Guimarães,diegoguimarães6703@univag.edu.br,"90442614078"
Vanessa,Farias,vanessafarias6836@univag.edu.br,"99186746764"
Daniel,Pereira,danielpereira6872@univag.edu.br,"55092771773"
Olívia,Cunha,olíviacunha6920@univag.edu.br,"59752172426"
Jorge,Lima,jorgelima6942@univag.edu.br,"37409850337"
Silvia,Monteiro,silviamonteiro7039@univag.edu.br,"32371234123"
Uriel,Castro,urielcastro7069@univag.edu.br,"20013748983"
Sandra,Almeida,sandraalmeida7224@univag.edu.br,"11748982200"
Hilda,Silva,hildasilva7230@univag.edu.br,"38271415586"
Nívea,Macedo,níveamacedo7268@univag.edu.br,"14632298620"
Vitória,Nogueira,vitórianogueira7285@univag.edu.br,"65466541677"
Ester,Brandão,esterbrandão7326@univag.edu.br,"58097329097"
Graça,Freire,graçafreire7342@univag.edu.br,"55549285639"
Othon,Bastos,othonbastos7360@univag.edu.br,"50971328406"
Patrícia,Castro,patríciacastro7381@univag.edu.br,"85709170408"
Washington,Lopes,washingtonlopes7398@univag.edu.br,"93719920865"
Elisa,Cardoso,elisacardoso7399@univag.edu.br,"14147530772"
Kauã,Ribeiro,kauãribeiro7410@univag.edu.br,"93872785760"
Bianca,Teixeira,biancateixeira7499@univag.edu.br,"91971310690"
Danilo,Mendes,danilomendes7502@univag.edu.br,"92525322644"
Sabrina,Antunes,sabrinaantunes7511@univag.edu.br,"23789009971"
Caio,Gonçalves,caiogonçalves7513@univag.edu.br,"12077285825"
Mariana,Santos,marianasantos7514@univag.edu.br,"33409751248"
Kelly,Cruz,kellycruz7548@univag.edu.br,"80335557509"
Bruna,Maciel,brunamaciel7559@univag.edu.br,"80152257993"
Zuleica,Freire,zuleicafreire7572@univag.edu.br,"85096121228"
Caio,Correia,caiocorreia7651@univag.edu.br,"72605763634"
Augusto,Borges,augustoborges7681@univag.edu.br,"47531512451"
Bianca,Gonçalves,biancagonçalves7754@univag.edu.br,"74719788503"
Heloísa,Mendes,heloísamendes7778@univag.edu.br,"52984592224"
Vinícius,Gomes,viníciusgomes7815@univag.edu.br,"98260882225"
Kátia,Gonçalves,kátiagonçalves7819@univag.edu.br,"96983711470"
Felipe,Vieira,felipevieira7824@univag.edu.br,"99656366293"
Yuri,Dias,yuridias7915@univag.edu.br,"29917271878"
Bianca,Freire,biancafreire7918@univag.edu.br,"63129610939"
Jonas,Cruz,jonascruz7928@univag.edu.br,"36496472931"
Noel,Almeida,noelalmeida7963@univag.edu.br,"98161929366"
Kevin,Mendes,kevinmendes7972@univag.edu.br,"52428471454"
Ronaldo,Borges,ronaldoborges7982@univag.edu.br,"36537635402"
Brás,Almeida,brásalmeida7993@univag.edu.br,"96350509843"
Osvaldo,Gonçalves,osvaldogonçalves8001@univag.edu.br,"36031407528"
Elisa,Borges,elisaborges8004@univag.edu.br,"50545306950"
Emília,Gomes,emíliagomes8005@univag.edu.br,"87626056759"
Leonardo,Almeida,leonardoalmeida8006@univag.edu.br,"19882824221"
Olímpia,Freire,olímpiafreire8015@univag.edu.br,"20458430224"
Irene,Almeida,irenealmeida8037@univag.edu.br,"52243145217"
Michele,Costa,michelecosta8039@univag.edu.br,"52734836110"
Arthur,Souza,arthursouza8072@univag.edu.br,"85606121889"
Zeca,Borges,zecaborges8088@univag.edu.br,"52484810051"
Quênia,Silva,quêniasilva8089@univag.edu.br,"35243539168"
Renan,Freire,renanfreire8101@univag.edu.br,"79768697810"
Túlio,Gomes,túliogomes8104@univag.edu.br,"90994747143"
Carlos,Freire,carlosfreire8107@univag.edu.br,"73143009482"
Gerson,Costa,gersoncosta8112@univag.edu.br,"45179624392"
Suzana,Teixeira,suzanateixeira8148@univag.edu.br,"58432170194"
Wendel,Santos,wendelsantos8169@univag.edu.br,"89072254933"
Sônia,Teixeira,sôniateixeira8181@univag.edu.br,"70297357309"
Yolanda,Silva,yolandasilva8192@univag.edu.br,"86373344898"
Alice,Borges,aliceborges8215@univag.edu.br,"15179062606"
Jefferson,Teixeira,jeffersonteixeira8216@univag.edu.br,"85206509072"
Yasmine,Rocha,yasminerocha8224@univag.edu.br,"15603873010"
Talita,Gonçalves,talitagonçalves8233@univag.edu.br,"77505459042"
Inês,Castro,inêscastro8255@univag.edu.br,"41547978864"
Quitério,Teixeira,quitérioteixeira8259@univag.edu.br,"54401738627"
Leonardo,Lopes,leonardolopes8264@univag.edu.br,"11995029400"
Catarina,Almeida,catarinaalmeida8290@univag.edu.br,"70306856625"
Beatriz,Oliveira,beatrizoliveira8299@univag.edu.br,"11391703454"
Betina,Pereira,betinapereira8377@univag.edu.br,"68986718389"
Renato,Peixoto,renatopeixoto8413@univag.edu.br,"90321786752"
Karla,Lima,karlalima8423@univag.edu.br,"99057254252"
Helena,Teixeira,helenateixeira8425@univag.edu.br,"43432832289"
Eliana,Gonçalves,elianagonçalves8427@univag.edu.br,"84103385826"
Ximena,Teixeira,ximenateixeira8439@univag.edu.br,"59717287837"
Patrícia,Souza,patríciasouza8454@univag.edu.br,"50013924965"
Ulisses,Borges,ulissesborges8490@univag.edu.br,"61326625123"
Douglas,Martins,douglasmartins8493@univag.edu.br,"24040478500"
Joana,Souza,joanasouza8501@univag.edu.br,"91680362223"
Quirino,Gomes,quirinogomes8514@univag.edu.br,"87358258882"
Tiago,Freitas,tiagofreitas8515@univag.edu.br,"80149556973"
Yasmin,Almeida,yasminalmeida8522@univag.edu.br,"16905827805"
Otacília,Silva,otacíliasilva8541@univag.edu.br,"41663393960"
Gabriela,Sousa,gabrielasousa8555@univag.edu.br,"73376781718"
Lucas,Gonçalves,lucasgonçalves8571@univag.edu.br,"48582970564"
Mateus,Araújo,mateusaraújo8583@univag.edu.br,"88055999059"
Íris,Monteiro,írismonteiro8614@univag.edu.br,"31600940707"
Quintino,Farias,quintinofarias8664@univag.edu.br,"25108435826"
Joaquim,Costa,joaquimcosta8843@univag.edu.br,"74871140983"
Adriano,Ramos,adrianoramos8844@univag.edu.br,"18624792935"
Gisele,Borges,giseleborges8849@univag.edu.br,"14561832273"
Horácio,Souza,horáciosouza8853@univag.edu.br,"22826332840"
Queila,Tavares,queilatavares8859@univag.edu.br,"14783361463"
Bernardo,Bastos,bernardobastos8929@univag.edu.br,"88146309789"
Narcisa,Gonçalves,narcisagonçalves8952@univag.edu.br,"19944300791"
Maria,Barbosa,mariabarbosa8973@univag.edu.br,"84110504499"
Karen,Borges,karenborges9008@univag.edu.br,"93732554156"
Dalva,Gonçalves,dalvagonçalves9038@univag.edu.br,"93252065489"
William,Costa,williamcosta9045@univag.edu.br,"37621695737"
Sheila,Monteiro,sheilamonteiro9068@univag.edu.br,"26538327006"
Ofélia,Teixeira,oféliateixeira9072@univag.edu.br,"45901800974"
Quitéria,Freire,quitériafreire9081@univag.edu.br,"16816961895"
Iara,Almeida,iaraalmeida9087@univag.edu.br,"16169750840"
Urbano,Borges,urbanoborges9131@univag.edu.br,"96916247435"
Denise,Silva,denisesilva9154@univag.edu.br,"31742818997"
Fabrício,Gonçalves,fabríciogonçalves9177@univag.edu.br,"94761641510"
Diogo,Costa,diogocosta9184@univag.edu.br,"84687681882"
Yasmin,Monteiro,yasminmonteiro9216@univag.edu.br,"52632952259"
Débora,Bloch,déborabloch9262@univag.edu.br,"59207468135"
Yasmin,Monteiro,yasminmonteiro9267@univag.edu.br,"48859286050"
Joana,Borges,joanaborges9321@univag.edu.br,"72492640882"
Salete,Gonçalves,saletegonçalves9368@univag.edu.br,"34779198928"
Gustavo,Moraes,gustavomoraes9375@univag.edu.br,"30526320356"
Larissa,Neves,larissaneves9390@univag.edu.br,"18569442389"
Naiana,Freire,naianafreire9417@univag.edu.br,"86447853410"
Zeca,Almeida,zecaalmeida9444@univag.edu.br,"64185778769"
Paulo,Teixeira,pauloteixeira9460@univag.edu.br,"30186650467"
Francisco,Borges,franciscoborges9465@univag.edu.br,"80768372498"
Amanda,Silva,amandasilva9470@univag.edu.br,"87234572335"
Yuri,Gonçalves,yurigonçalves9503@univag.edu.br,"62566415153"
Selton,Mello,seltonmello9524@univag.edu.br,"48152709364"
Isaac,Almeida,isaacalmeida9531@univag.edu.br,"56405418980"
Ximena,Silva,ximenasilva9536@univag.edu.br,"74661877574"
Ursula,Lima,ursulalima9537@univag.edu.br,"76675636511"
Quirino,Souza,quirinosouza9543@univag.edu.br,"87315413866"
Vânia,Borges,vâniaborges9546@univag.edu.br,"49980559832"
Yara,Souza,yarasouza9583@univag.edu.br,"21560813764"
Xana,Freire,xanafreire9584@univag.edu.br,"26304347723"
Urano,Freire,uranofreire9592@univag.edu.br,"39042482828"
Xenofonte,Souza,xenofontesouza9595@univag.edu.br,"48525378637"
Patrícia,Duarte,patríciaduarte9616@univag.edu.br,"76233357897"
Ricardo,Souza,ricardosouza9618@univag.edu.br,"18254809199"
Tereza,Lemos,terezalemos9622@univag.edu.br,"78316069109"
Márcia,Teixeira,márciateixeira9655@univag.edu.br,"89152029952"
Eduardo,Fernandes,eduardofernandes9657@univag.edu.br,"13979089382"
Rodrigo,Prado,rodrigoprado9658@univag.edu.br,"40255265999"
Paulo,Teixeira,pauloteixeira9675@univag.edu.br,"59030680563"
Karen,Teixeira,karenteixeira9679@univag.edu.br,"72646751754"
André,Oliveira,andréoliveira9680@univag.edu.br,"11770466380"
Hugo,Borges,hugoborges9694@univag.edu.br,"67736905909"
Helena,Gonçalves,helenagonçalves9697@univag.edu.br,"77228923781"
Fernanda,Lopes,fernandalopes9699@univag.edu.br,"78067625560"
Oscar,Teixeira,oscarteixeira9701@univag.edu.br,"16174047940"
Fernanda,Teixeira,fernandateixeira9726@univag.edu.br,"47408166822"
Alessandro,Macedo,alessandromacedo9731@univag.edu.br,"90258533653"
Paulo,Gonçalves,paulogonçalves9738@univag.edu.br,"39604059146"
Lázaro,Ramos,lázaroramos9747@univag.edu.br,"28437509126"
Larissa,Teixeira,larissateixeira9749@univag.edu.br,"36872404172"
Nícolas,Lacerda,nícolaslacerda9750@univag.edu.br,"38556859104"
Fátima,Monteiro,fátimamonteiro9763@univag.edu.br,"70419085117"
Urânia,Monteiro,urâniamonteiro9772@univag.edu.br,"74265053008"
Thiago,Freire,thiagofreire9773@univag.edu.br,"14341175279"
Simone,Farias,simonefarias9779@univag.edu.br,"34762600992"
Zilda,Silva,zildasilva9782@univag.edu.br,"54175130896"
Bruno,Lima,brunolima9785@univag.edu.br,"94931952955"
Willian,Lima,willianlima9938@univag.edu.br,"84195310295"
Otávio,Santos,otáviosantos10162@univag.edu.br,"37235700150"
Noemi,Teixeira,noemiteixeira10163@univag.edu.br,"49456601361"
Noemi,Leite,noemileite10164@univag.edu.br,"81685219283"
Gabriela,Teixeira,gabrielateixeira10165@univag.edu.br,"99189461961"
Samara,Vieira,samaravieira10168@univag.edu.br,"95601149964"
Xisto,Silva,xistosilva10169@univag.edu.br,"78180896912"
Quinze,Ferreira,quinzeferreira10171@univag.edu.br,"12845298852"
Valentina,Monteiro,valentinamonteiro10172@univag.edu.br,"72763990269"
Zé,Ferreira,zéferreira10173@univag.edu.br,"81472332173"
Mariana,Almeida,marianaalmeida10174@univag.edu.br,"96952502098"
Cíntia,Faria,cíntiafaria10175@univag.edu.br,"55946882064"
Yara,Almeida,yaraalmeida10176@univag.edu.br,"48105908079"
Quirino,Farias,quirinofarias10177@univag.edu.br,"94457112904"
Wagner,Teixeira,wagnerteixeira10178@univag.edu.br,"21613120545"
Marcela,Gomes,marcelagomes10179@univag.edu.br,"93402157373"
Igor,Rezende,igorrezende10223@univag.edu.br,"98192945740"
Júlia,Rocha,júliarocha10225@univag.edu.br,"11654655779"
Davi,Teixeira,daviteixeira10255@univag.edu.br,"51615115468"
Nair,Almeida,nairalmeida10256@univag.edu.br,"63937158910"
Luana,Souza,luanasouza10257@univag.edu.br,"34595967701"
Xerxes,Almeida,xerxesalmeida10259@univag.edu.br,"92214320320"
Carla,Gonçalves,carlagonçalves10261@univag.edu.br,"14183228312"
Valdemar,Costa,valdemarcosta10262@univag.edu.br,"98016237331"
Zilda,Castro,zildacastro10263@univag.edu.br,"70339732027"
Jéssica,Pereira,jéssicapereira10264@univag.edu.br,"81633780453"
Patrícia,Costa,patríciacosta10265@univag.edu.br,"74167191596"
Patrícia,Costa,patríciacosta10266@univag.edu.br,"49745531903"
Zélia,Farias,zéliafarias10267@univag.edu.br,"55228803398"
Glória,Pires,glóriapires10314@univag.edu.br,"17582490613"
Estela,Gomes,estelagomes10315@univag.edu.br,"40592251253"
Valéria,Carvalho,valériacarvalho10316@univag.edu.br,"46480320940"
Ademir,Teixeira,ademirteixeira10317@univag.edu.br,"77884530887"
Xenon,Rodrigues,xenonrodrigues10318@univag.edu.br,"30641901018"
William,Souza,williamsouza10333@univag.edu.br,"79657091845"
Úrsula,Silva,úrsulasilva10341@univag.edu.br,"16003072763"
Walter,Borges,walterborges10342@univag.edu.br,"90694498664"
Amanda,Costa,amandacosta10343@univag.edu.br,"67070086479"
Raul,Mendes,raulmendes10344@univag.edu.br,"34693976431"
Tiago,Almeida,tiagoalmeida10345@univag.edu.br,"66283971837"
Guilherme,Pereira,guilhermepereira10353@univag.edu.br,"53282759717"
Bernardo,Gonçalves,bernardogonçalves10372@univag.edu.br,"27564618391"
Ernesto,Freire,ernestofreire10444@univag.edu.br,"80469469405"
Cláudia,Marques,cláudiamarques10467@univag.edu.br,"14441575582"
Yasmin,Gonçalves,yasmingonçalves10471@univag.edu.br,"58804109842"
Carlos,Gonçalves,carlosgonçalves10480@univag.edu.br,"55864689899"
Otávia,Almeida,otáviaalmeida10493@univag.edu.br,"26179010893"
Isadora,Teixeira,isadorateixeira10516@univag.edu.br,"19760324529"
Gabriel,Martins,gabrielmartins10519@univag.edu.br,"62330389460"
Fernanda,Montenegro,fernandamontenegro10552@univag.edu.br,"30975261804"
Zenaide,Freire,zenaidefreire10560@univag.edu.br,"83565644965"
Henrique,Gonçalves,henriquegonçalves10575@univag.edu.br,"97699843927"
Karine,Mendes,karinemendes10585@univag.edu.br,"49753254968"
Nilza,Borges,nilzaborges10600@univag.edu.br,"38957537410"
Márcio,Borges,márcioborges10610@univag.edu.br,"76046971567"
Raimundo,Silva,raimundosilva10725@univag.edu.br,"74915805081"
Felipe,Souza,felipesouza10756@univag.edu.br,"40337077082"
Herculano,Gonçalves,herculanogonçalves10939@univag.edu.br,"67574605061"
Xénia,Souza,xéniasouza10958@univag.edu.br,"79726509747"
Ester,Almeida,esteralmeida10981@univag.edu.br,"96518625631"
Cláudio,Teixeira,cláudioteixeira11064@univag.edu.br,"80463847939"
Tomás,Almeida,tomásalmeida11071@univag.edu.br,"93791093181"
Valquíria,Silva,valquíriasilva11093@univag.edu.br,"50506141425"
Inácio,Borges,inácioborges11114@univag.edu.br,"34329325479"
Renata,Gomes,renatagomes11127@univag.edu.br,"37202888973"
Pedro,Mendes,pedromendes11129@univag.edu.br,"48699313291"
Débora,Borges,déboraborges11130@univag.edu.br,"61825878756"
Norberto,Lopes,norbertolopes11132@univag.edu.br,"75358721901"
Fabiana,Teixeira,fabianateixeira11133@univag.edu.br,"13033114116"
Tainá,Monteiro,tainámonteiro11135@univag.edu.br,"82386882216"
Quitéria,Lima,quitérialima11139@univag.edu.br,"45155858887"
Eduardo,Souza,eduardosouza11140@univag.edu.br,"93580122310"
Gilson,Gonçalves,gilsongonçalves11170@univag.edu.br,"77518965378"
Melissa,Mota,melissamota11173@univag.edu.br,"40603220547"
Henrique,Borges,henriqueborges11175@univag.edu.br,"32568083368"
Ítalo,Freire,ítalofreire11178@univag.edu.br,"56753780170"
Sérgio,Costa,sérgiocosta11182@univag.edu.br,"65996489474"
Janete,Souza,janetesouza11184@univag.edu.br,"24030535990"
Ubirajara,Almeida,ubirajaraalmeida11185@univag.edu.br,"47561036467"
Heloísa,Freire,heloísafreire11197@univag.edu.br,"96795092273"
Giovana,Almeida,giovanaalmeida11203@univag.edu.br,"57907906199"
Fábio,Teixeira,fábioteixeira11204@univag.edu.br,"61865183823"
Ícaro,Borges,ícaroborges11209@univag.edu.br,"93753610272"
Viviane,Santos,vivianesantos11298@univag.edu.br,"77541971293"
Júlia,Souza,júliasouza11354@univag.edu.br,"46442393158"
Laís,Teixeira,laísteixeira11381@univag.edu.br,"68410470131"
Mauro,Gonçalves,maurogonçalves11386@univag.edu.br,"32758526012"
